monthly_sales,category_code,time,category_name,high_level_category,is_subset
962.0,45321,2017-05-01,Office Supplies and Stationery Stores,Miscellaneous Store Retailers,True
53244.0,44511,2017-05-01,Supermarkets and Other Grocery (Except Convenience) Stores,Food and Beverage Stores,True
5710.0,443142,2017-05-01,Electronics Stores,Electronics and Appliance Stores,True
105656.0,441,2017-05-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False
89634.0,4411,2017-05-01,Automobile Dealers,Motor Vehicle and Parts Dealers,True
62133.0,445,2017-05-01,Food and Beverage Stores,Food and Beverage Stores,False
27386.0,446,2017-05-01,Health and Personal Care Stores,Health and Personal Care Stores,False
2441.0,44413,2017-05-01,Hardware Stores,Building Material and Garden Equipment and Supplies Dealers,True
7159.0,443,2017-05-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False
2402.0,442299,2017-05-01,All Other Home Furnishings Stores,Furniture and Home Furnishings Stores,True
1449.0,443141,2017-05-01,Household Appliance Stores,Electronics and Appliance Stores,True
16734.0,4423X,2017-05-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False
9575.0,442,2017-05-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False
104330.0,4400C,2017-05-01,GAFO,Retail Trade and Food Services,True
434531.0,44000,2017-05-01,Retail Trade,Retail Trade and Food Services,True
4435.0,4422,2017-05-01,Home Furnishings Stores,Furniture and Home Furnishings Stores,True
29749.0,4441,2017-05-01,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,True
79746.0,44111,2017-05-01,New Car Dealers,Motor Vehicle and Parts Dealers,True
1082.0,44412,2017-05-01,Paint and Wallpaper Stores,Building Material and Garden Equipment and Supplies Dealers,True
