cell_value,time_slot_id,data_type_code,category_code,error_data,seasonally_adj,data_type_code,time,us
433647,0,SM,44000,no,yes,SM,2018-02,1
432774,0,SM,44000,no,yes,SM,2018-03,1
434998,0,SM,44000,no,yes,SM,2018-04,1
440091,0,SM,44000,no,yes,SM,2018-05,1
437762,0,SM,44000,no,yes,SM,2018-06,1
440024,0,SM,44000,no,yes,SM,2018-07,1
439439,0,SM,44000,no,yes,SM,2018-08,1
438880,0,SM,44000,no,yes,SM,2018-09,1
443924,0,SM,44000,no,yes,SM,2018-10,1
445847,0,SM,44000,no,yes,SM,2018-11,1
435613,0,SM,44000,no,yes,SM,2018-12,1
107225,0,SM,4400C,no,yes,SM,2018-01,1
108595,0,SM,4400C,no,yes,SM,2018-02,1
107127,0,SM,4400C,no,yes,SM,2018-03,1
107669,0,SM,4400C,no,yes,SM,2018-04,1
109779,0,SM,4400C,no,yes,SM,2018-05,1
108001,0,SM,4400C,no,yes,SM,2018-06,1
108355,0,SM,4400C,no,yes,SM,2018-07,1
107845,0,SM,4400C,no,yes,SM,2018-08,1
107252,0,SM,4400C,no,yes,SM,2018-09,1
108378,0,SM,4400C,no,yes,SM,2018-10,1
109160,0,SM,4400C,no,yes,SM,2018-11,1
108112,0,SM,4400C,no,yes,SM,2018-12,1
331058,0,SM,4400A,no,yes,SM,2018-01,1
333934,0,SM,4400A,no,yes,SM,2018-02,1
332864,0,SM,4400A,no,yes,SM,2018-03,1
334997,0,SM,4400A,no,yes,SM,2018-04,1
339316,0,SM,4400A,no,yes,SM,2018-05,1
337371,0,SM,4400A,no,yes,SM,2018-06,1
339147,0,SM,4400A,no,yes,SM,2018-07,1
339389,0,SM,4400A,no,yes,SM,2018-08,1
339466,0,SM,4400A,no,yes,SM,2018-09,1
343833,0,SM,4400A,no,yes,SM,2018-10,1
344725,0,SM,4400A,no,yes,SM,2018-11,1
333405,0,SM,4400A,no,yes,SM,2018-12,1
27604,0,SM,446,no,yes,SM,2018-01,1
27484,0,SM,446,no,yes,SM,2018-02,1
27626,0,SM,446,no,yes,SM,2018-03,1
27909,0,SM,446,no,yes,SM,2018-04,1
28397,0,SM,446,no,yes,SM,2018-05,1
28105,0,SM,446,no,yes,SM,2018-06,1
28247,0,SM,446,no,yes,SM,2018-07,1
28478,0,SM,446,no,yes,SM,2018-08,1
28379,0,SM,446,no,yes,SM,2018-09,1
28595,0,SM,446,no,yes,SM,2018-10,1
29102,0,SM,446,no,yes,SM,2018-11,1
27925,0,SM,446,no,yes,SM,2018-12,1
42901,0,SM,447,no,yes,SM,2018-01,1
43180,0,SM,447,no,yes,SM,2018-02,1
42913,0,SM,447,no,yes,SM,2018-03,1
43181,0,SM,447,no,yes,SM,2018-04,1
44044,0,SM,447,no,yes,SM,2018-05,1
43811,0,SM,447,no,yes,SM,2018-06,1
43996,0,SM,447,no,yes,SM,2018-07,1
44681,0,SM,447,no,yes,SM,2018-08,1
44178,0,SM,447,no,yes,SM,2018-09,1
45871,0,SM,447,no,yes,SM,2018-10,1
43530,0,SM,447,no,yes,SM,2018-11,1
41031,0,SM,447,no,yes,SM,2018-12,1
7791,0,SM,4413,no,yes,SM,2018-01,1
7833,0,SM,4413,no,yes,SM,2018-02,1
7815,0,SM,4413,no,yes,SM,2018-03,1
7794,0,SM,4413,no,yes,SM,2018-04,1
7958,0,SM,4413,no,yes,SM,2018-05,1
7912,0,SM,4413,no,yes,SM,2018-06,1
7980,0,SM,4413,no,yes,SM,2018-07,1
7945,0,SM,4413,no,yes,SM,2018-08,1
8019,0,SM,4413,no,yes,SM,2018-09,1
7998,0,SM,4413,no,yes,SM,2018-10,1
7971,0,SM,4413,no,yes,SM,2018-11,1
