monthly_sales,category_code,time,category_name,high_level_category,is_subset,cv,year,yoy_growth,cpi_index,inflation_adjusted_sales
90043.0,441X,2017-05-01,Auto and Other Motor Vehicles,Motor Vehicle and Parts Dealers,True,0.13209191148749178,2017,NULL,244.733,36792.3410410529
3231.0,44812,2017-05-01,Women's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.14956574020784283,2017,NULL,244.733,1320.2142743316185
799.0,44811,2017-05-01,Men's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.2466110754983098,2017,NULL,244.733,326.4782436369431
6090.0,45299,2017-05-01,All Other General Merchandise Stores,Other General Merchandise Stores,True,0.12345412382193059,2017,NULL,244.733,2488.4261623892157
97794.0,441,2017-05-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False,0.13222117092684332,2017,NULL,244.733,39959.46603032693
15843.0,4481,2017-05-01,Clothing Stores,Clothing and Clothing Accessories Stores,True,0.16157649531500107,2017,NULL,244.733,6473.585499299235
316459.0,4400A,2017-05-01,"Retail Trade, ex Auto",Retail Trade and Food Services,True,0.14786202192215359,2017,NULL,244.733,129307.85795131838
38127.0,447,2017-05-01,Gasoline Stations,Gasoline Stations,False,0.18634262508160362,2017,NULL,244.733,15579.0187673914
17229.0,4423X,2017-05-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False,0.10351229967573385,2017,NULL,244.733,7039.91697073954
49760.0,454,2017-05-01,Nonstore Retailers,Nonstore Retailers,False,0.2888760037575308,2017,NULL,244.733,20332.362206976584
2998.0,4482,2017-05-01,Shoe Stores,Clothing and Clothing Accessories Stores,True,0.13692203890623816,2017,NULL,244.733,1225.008478627729
9490.0,442,2017-05-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False,0.12210590008330764,2017,NULL,244.733,3877.6952842485484
104844.0,4400C,2017-05-01,GAFO,Retail Trade and Food Services,True,0.09965600249127685,2017,NULL,244.733,42840.15641535878
2528.0,44831,2017-05-01,Jewelry Stores,Clothing and Clothing Accessories Stores,True,0.16151059730989883,2017,NULL,244.733,1032.962452958939
12258.0,4521E,2017-05-01,Department Stores,Department Stores,False,0.08625376047961941,2017,NULL,244.733,5008.723792868146
26823.0,446,2017-05-01,Health and Personal Care Stores,Health and Personal Care Stores,False,0.10392429670787862,2017,NULL,244.733,10960.107545774375
24999.0,4441,2017-05-01,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,True,0.14604896148954988,2017,NULL,244.733,10214.805522753368
471630.0,44X72,2017-05-01,Retail Trade and Food Services,Retail Trade and Food Services,False,0.14685787363973846,2017,NULL,244.733,192712.05763015203
6954.0,451,2017-05-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False,0.1329579988257443,2017,NULL,244.733,2841.4639627675874
7739.0,443,2017-05-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False,0.10050608283677352,2017,NULL,244.733,3162.2216864909924
7751.0,4413,2017-05-01,"Automotive Parts, Accessories, and Tire Stores",Motor Vehicle and Parts Dealers,True,0.1433024713423359,2017,NULL,244.733,3167.124989274025
433503.0,44Z72,2017-05-01,"Retail Trade and Food Services, ex Gas",Retail Trade and Food Services,True,0.14600138047167524,2017,NULL,244.733,177133.03886276064
21627.0,448,2017-05-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False,0.1604678192444514,2017,NULL,244.733,8836.977440721112
373836.0,44Y72,2017-05-01,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True,0.15215800617347675,2017,NULL,244.733,152752.5915998251
10070.0,453,2017-05-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False,0.15056250465367801,2017,NULL,244.733,4114.68825209514
56512.0,452,2017-05-01,General Merchandise Stores,General Merchandise Stores,False,0.09676640812278407,2017,NULL,244.733,23091.287239563117
60621.0,445,2017-05-01,Food and Beverage Stores,Food and Beverage Stores,False,0.11303261227981656,2017,NULL,244.733,24770.259834186643
4378.0,4453,2017-05-01,"Beer, Wine, and Liquor Stores",Food and Beverage Stores,True,0.12317134392129873,2017,NULL,244.733,1788.8882986765168
2603.0,45431,2017-05-01,Fuel Dealers,Gasoline Stations,True,0.17230226571801976,2017,NULL,244.733,1063.608095352895
